14400,384.8,366,348,18,0.70,40.7,38,304,55,43,4.9,2183,10.0
14600,396.0,377,358,18,0.70,41.7,39,305,56,45,5.0,2285,10.4
14800,407.5,377,358,18,0.70,42.6,39,306,57,47,5.1,2391,10.7
15000,419.4,398,378,17,0.70,43.6,41,306,58,50,5.2,2501,11.1
15200,431.5,410,389,17,0.69,44.6,42,307,58,52,5.3,2616,11.5
15400,444.1,421,400,16,0.70,45.6,42,308,59,54,5.4,2736,12.0
15600,457.1,433,411,15,0.70,46.7,43,309,60,57,5.5,2862,12.4
15800,470.5,445,422,14,0.70,47.7,44,310,61,60,5.6,2994,12.9
16000,484.4,458,433,13,0.70,48.8,45,311,62,63,5.7,3134,13.4
16200,498.9,471,445,13,0.71,50.0,46,312,63,66,5.8,3280,13.9
16400,514.1,484,458,12,0.72,51.2,47,314,64,69,5.9,3436,14.5
16600,530.1,498,470,11,0.74,52.4,48,315,66,6.1,6.1,3602,15.1
16800,547.1,513,483,11,0.76,53.8,49,316,67,77,6.2,3780,15.8
17000,565.3,528,497,10,0.80,55.2,50,317,68,81,6.3,3975,16.6
17200,585.2,544,511,10,0.84,56.7,51,319,69,85,6.5,4189,17.5
17400,607.3,561,525,8,0.90,58.4,52,320,70,91,6.7,4431,18.5
17600,632.8,580,541,7,0.96,60.3,54,322,72,98,6.9,4713,19.7
17800,664.0,600,557,6,1.05,62.6,55,324,73,106,7.1,5064,21.3
18000,712.1,623,574,2,1.15,66.1,58,327,76,121,7.5,5612,24.0
